ID,Delivery_person_Ratings,Order_Date,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken,Order_Day,Order_Hour,Distance_km
0xddc5,4.6,2022-02-14,Sunny,Low,1,Snack,motorcycle,1,No,Metropolitian,27,Monday,22,13.377332859549806
0x8e6c,4.2,2022-03-02,Fog,Jam,2,Snack,scooter,1,No,Semi-Urban,49,Wednesday,20,12.552275755914394
0x395b,4.7,2022-03-13,Cloudy,Jam,1,Snack,motorcycle,1,No,Metropolitian,30,Sunday,20,9.414207472710387
0x8aa2,4.8,2022-03-29,Sandstorms,Low,1,Drinks,scooter,0,No,Urban,18,Tuesday,22,11.902753837483976
0xb55a,4.9,2022-03-30,Sunny,Jam,2,Drinks,scooter,0,No,Metropolitian,22,Wednesday,21,4.654256824131882
0x73cc,4.4,2022-03-12,Cloudy,Low,2,Drinks,scooter,1,No,Metropolitian,34,Saturday,22,10.624594799022988
0xbe80,5.0,2022-03-31,Sandstorms,Low,0,Buffet,motorcycle,0,No,Urban,24,Thursday,23,16.790293751513897
0x1609,4.9,2022-03-17,Fog,Medium,2,Drinks,scooter,1,No,Metropolitian,17,Thursday,15,6.118069582492733
0xd255,4.8,2022-02-15,Sandstorms,Low,2,Meal,electric_scooter,0,No,Metropolitian,14,Tuesday,10,2.992439854305071
0xde72,4.9,2022-02-15,Stormy,Jam,2,Meal,motorcycle,1,No,Metropolitian,30,Tuesday,20,7.335684979628153
0x98aa,4.8,2022-03-07,Stormy,Low,1,Meal,scooter,1,No,Metropolitian,15,Monday,10,3.1380694073889375
0x273a,4.8,2022-03-28,Fog,Medium,2,Buffet,scooter,1,No,Urban,16,Monday,15,6.276138627413788
0xa258,4.6,2022-03-16,Cloudy,Jam,1,Snack,scooter,1,No,Metropolitian,36,Wednesday,20,13.944598794232533
0x8b53,4.7,2022-03-17,Sunny,High,1,Buffet,scooter,1,No,Urban,18,Thursday,12,6.071959804867507
0xbbde,4.6,2022-03-15,Fog,Medium,1,Meal,scooter,0,No,Metropolitian,17,Tuesday,15,6.071422120848535
0x5ded,4.8,2022-03-25,Sandstorms,Low,1,Buffet,motorcycle,1,No,Urban,15,Friday,22,12.552275755914394
0x1a70,4.7,2022-03-09,Fog,Low,0,Buffet,motorcycle,1,No,Metropolitian,17,Wednesday,10,3.1380694073889375
0xc606,4.5,2022-02-11,Fog,Jam,1,Drinks,motorcycle,1,No,Metropolitian,27,Friday,21,7.845173108613388
0xb962,4.1,2022-03-12,Sandstorms,Jam,1,Buffet,motorcycle,2,No,Metropolitian,37,Saturday,20,13.942135995521298
0x633c,4.6,2022-03-29,Fog,Jam,1,Drinks,scooter,2,No,Metropolitian,44,Tuesday,20,13.945658037651098
0x2dc6,4.7,2022-03-19,Windy,High,2,Drinks,electric_scooter,1,No,Metropolitian,28,Saturday,12,6.049848888721861
0x903a,4.7,2022-03-10,Cloudy,Jam,2,Snack,scooter,1,No,Metropolitian,42,Thursday,21,17.04433026158702
0xc444,4.8,2022-02-16,Windy,Low,1,Snack,motorcycle,1,No,Metropolitian,25,Wednesday,23,17.259376716936664
0x1fb7,4.4,2022-03-27,Cloudy,Medium,2,Snack,scooter,1,No,Metropolitian,39,Sunday,18,17.039320664078645
0x34d7,4.7,2022-03-27,Stormy,Medium,0,Meal,motorcycle,0,No,Urban,20,Sunday,18,16.790293751513897
0x156b,5.0,2022-03-24,Stormy,High,1,Buffet,motorcycle,1,No,Metropolitian,31,Thursday,11,2.976038261804114
0x56ad,4.6,2022-03-09,Stormy,Jam,1,Buffet,motorcycle,0,No,Metropolitian,13,Wednesday,20,9.204543446314432
0xcbc4,4.8,2022-02-15,Windy,High,1,Snack,scooter,1,No,Urban,19,Tuesday,12,6.164026189217134
0xc19e,4.6,2022-02-18,Fog,Low,0,Buffet,motorcycle,2,Yes,Urban,42,Friday,23,12.189899417672075
0x1d60,5.0,2022-03-01,Fog,Low,0,Drinks,motorcycle,1,No,Metropolitian,23,Tuesday,10,1.5496181081271545
0x95fb,4.2,2022-03-23,Stormy,Jam,0,Meal,motorcycle,1,No,Metropolitian,39,Wednesday,21,16.872927418719993
0x8195,4.6,2022-04-01,Stormy,Low,2,Drinks,motorcycle,1,No,Metropolitian,25,Friday,10,1.507218847377163
0xc042,4.7,2022-02-16,Sandstorms,Low,1,Drinks,scooter,0,No,Metropolitian,15,Wednesday,22,6019.211230800505
0x6d19,4.9,2022-03-11,Cloudy,Low,2,Drinks,scooter,1,No,Urban,15,Friday,8,3.020706639820848
0x35e6,4.8,2022-03-14,Sunny,Medium,2,Buffet,electric_scooter,0,No,Metropolitian,15,Monday,17,13.391515800864783
0x97e3,5.0,2022-04-01,Sunny,Low,0,Drinks,motorcycle,0,No,Metropolitian,18,Friday,22,7.756832982430433
0xa3e0,4.7,2022-04-04,Sandstorms,Low,2,Drinks,electric_scooter,0,No,Metropolitian,29,Monday,23,13.750484667228939
0x4161,4.7,2022-03-11,Fog,Low,0,Snack,motorcycle,0,No,Metropolitian,20,Friday,23,7.774259486970199
0x1236,4.4,2022-03-13,Cloudy,High,2,Meal,scooter,1,No,Metropolitian,39,Sunday,12,6.2054267911859675
0x2558,4.8,2022-03-04,Windy,Low,0,Snack,motorcycle,0,No,Metropolitian,19,Friday,23,16.824024800777703
0x3c57,4.8,2022-03-16,Windy,Low,0,Meal,motorcycle,0,No,Metropolitian,17,Wednesday,22,19.846613904419858
0x4863,4.6,2022-03-01,Stormy,Low,2,Snack,motorcycle,1,No,Urban,15,Tuesday,10,1.55490238236473
0x6757,4.3,2022-03-15,Sandstorms,Low,0,Meal,motorcycle,0,No,Urban,19,Tuesday,8,3.020916215301368
0x22ad,4.6,2022-03-04,Sandstorms,Jam,0,Buffet,motorcycle,1,No,Metropolitian,29,Friday,21,13.94442758388673
0x9f99,4.8,2022-03-18,Cloudy,Low,2,Snack,scooter,1,No,Urban,22,Friday,22,16.80256330471995
0x6781,4.3,2022-03-23,Fog,Jam,1,Drinks,scooter,0,No,Metropolitian,42,Wednesday,20,20.16747676677057
0x1b8d,4.7,2022-03-15,Sandstorms,Low,2,Snack,scooter,0,No,Urban,12,Tuesday,10,3.035902790349682
0x1aea,4.2,2022-03-08,Cloudy,Jam,1,Snack,motorcycle,1,No,Metropolitian,38,Tuesday,20,20.212460530271784
0x1e42,4.6,2022-03-10,Sunny,Low,0,Drinks,motorcycle,1,No,Metropolitian,23,Thursday,23,16.6952795873628
0xddc8,4.7,2022-02-11,Cloudy,Low,1,Meal,scooter,0,No,Metropolitian,15,Friday,10,2.980982302644137
0x24ac,4.6,2022-03-14,Sunny,Low,0,Snack,motorcycle,1,No,Metropolitian,24,Monday,23,12.142518774381282
0x3f01,3.8,2022-03-16,Windy,Jam,1,Drinks,motorcycle,0,No,Metropolitian,37,Wednesday,19,16.79399979607481
0x628c,4.8,2022-03-01,Sandstorms,Low,1,Snack,scooter,0,No,Metropolitian,24,Tuesday,22,7.747259356563763
0x6c38,4.8,2022-03-01,Sunny,Low,2,Buffet,electric_scooter,0,No,Metropolitian,13,Tuesday,23,9.043027721349308
0x8339,4.9,2022-03-02,Cloudy,Medium,0,Drinks,motorcycle,1,No,Urban,42,Wednesday,18,12.056953151950662
0x3ec5,4.9,2022-03-20,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,17,Sunday,22,13.561204009757525
0xadb4,4.6,2022-04-03,Cloudy,Jam,0,Drinks,motorcycle,0,No,Metropolitian,25,Sunday,20,4.464417671579878
0x2bc0,4.2,2022-03-29,Fog,Medium,1,Snack,scooter,0,No,Metropolitian,39,Tuesday,18,16.610672955997153
0x99e7,4.8,2022-03-17,Sunny,High,2,Meal,scooter,0,No,Metropolitian,18,Thursday,14,6.219419664894865
0x39ef,4.9,2022-03-17,Sandstorms,Medium,2,Drinks,motorcycle,1,No,Metropolitian,28,Thursday,16,6.196805343667927
0xe264,4.5,2022-02-15,Sandstorms,Low,1,Drinks,scooter,1,No,Metropolitian,18,Tuesday,22,7.4519201744257
0x9a29,4.7,2022-03-08,Fog,Jam,1,Snack,scooter,1,No,Metropolitian,49,Tuesday,21,16.577488524535227
0xa480,4.6,2022-03-31,Sunny,Low,0,Drinks,motorcycle,1,No,Metropolitian,21,Thursday,23,12.396712257294284
0xb46c,4.7,2022-03-01,Sunny,High,2,Snack,scooter,0,No,Metropolitian,23,Tuesday,14,6.108440050157439
0x7150,5.0,2022-04-03,Fog,Low,2,Meal,scooter,1,No,Urban,11,Sunday,10,1.5180601842214017
0x1e58,4.6,2022-03-24,Cloudy,Jam,0,Snack,motorcycle,0,No,Metropolitian,25,Thursday,21,9.074471773144202
0x4460,4.9,2022-03-07,Fog,Low,2,Snack,motorcycle,0,No,Metropolitian,18,Monday,8,3.059241752280784
0x977d,4.7,2022-03-09,Cloudy,Low,1,Buffet,motorcycle,0,No,Metropolitian,14,Wednesday,9,3.020731790895242
0x1602,4.9,2022-03-12,Windy,Medium,0,Drinks,motorcycle,2,No,Metropolitian,36,Saturday,17,13.945658037651098
0x5a01,4.9,2022-03-30,Fog,Medium,1,Meal,scooter,1,No,Urban,17,Wednesday,16,6.276138627413788
0x655,4.4,2022-03-05,Sandstorms,Low,0,Snack,motorcycle,1,No,Metropolitian,28,Saturday,8,1.534129114265342
0x20f6,4.6,2022-03-18,Fog,Jam,0,Buffet,motorcycle,0,Yes,Metropolitian,44,Friday,20,13.945629461520332
0x3db1,4.3,2022-03-13,Windy,Low,0,Snack,motorcycle,1,No,Metropolitian,20,Sunday,23,9.329319541894728
0x8ed2,5.0,2022-03-31,Fog,Jam,1,Snack,motorcycle,1,No,Metropolitian,35,Thursday,19,10.586720360323753
0x64cc,4.2,2022-03-23,Sandstorms,Jam,0,Meal,motorcycle,1,No,Metropolitian,50,Wednesday,21,17.042634005428827
0x2ed0,4.1,2022-03-24,Stormy,Jam,1,Meal,scooter,1,No,Metropolitian,34,Thursday,21,9.204512751051547
0x7553,4.6,2022-03-03,Sandstorms,High,1,Snack,scooter,0,No,Urban,23,Thursday,14,6.071413761024368
0x35d8,4.9,2022-03-09,Fog,Medium,0,Buffet,motorcycle,1,No,Metropolitian,27,Wednesday,18,4.6646029783419385
0x9832,4.7,2022-03-17,Cloudy,High,0,Snack,motorcycle,0,No,Urban,26,Thursday,12,6.276138627413788
0x4c88,3.9,2022-03-18,Cloudy,Low,1,Buffet,scooter,1,No,Metropolitian,35,Friday,23,10.69100092566136
0x9693,4.6,2022-03-19,Windy,High,0,Drinks,motorcycle,1,No,Urban,41,Saturday,12,6.276138627413788
0xae56,4.6,2022-03-04,Stormy,Medium,0,Snack,motorcycle,0,No,Metropolitian,30,Friday,17,17.10252275797518
0x8d18,4.8,2022-04-03,Windy,Low,1,Buffet,scooter,1,No,Metropolitian,19,Sunday,10,3.1380694073889375
0x9cba,4.9,2022-03-11,Windy,Low,1,Buffet,scooter,1,No,Metropolitian,27,Friday,9,1.5690347154047224
0x9b79,4.8,2022-04-01,Cloudy,High,0,Snack,motorcycle,1,No,Metropolitian,28,Friday,12,6.205591081602371
0x596a,4.7,2022-03-20,Sandstorms,Medium,0,Drinks,motorcycle,1,No,Metropolitian,24,Sunday,17,12.438452034187614
0x78aa,5.0,2022-03-31,Cloudy,Jam,0,Meal,motorcycle,1,No,Urban,36,Thursday,19,20.166286848244525
0xd7ec,4.3,2022-02-13,Sandstorms,Low,0,Buffet,motorcycle,0,No,Metropolitian,28,Sunday,23,9.067759514408273
0x55b1,4.8,2022-03-29,Fog,Medium,2,Drinks,motorcycle,1,No,Urban,31,Tuesday,18,17.103104604488404
0x87e4,4.0,2022-03-16,Sunny,Jam,0,Meal,motorcycle,3,No,Metropolitian,44,Wednesday,20,13.611105169020725
0x82c3,4.8,2022-03-14,Windy,Low,1,Drinks,scooter,1,No,Metropolitian,15,Monday,22,12.056968418188383
0x5397,4.4,2022-03-31,Windy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,33,Thursday,17,10.704957546119868
0x876b,4.9,2022-03-17,Fog,Jam,0,Buffet,motorcycle,0,No,Metropolitian,30,Thursday,19,7.5891604266055
0x3a5a,4.9,2022-03-28,Stormy,Medium,1,Snack,scooter,1,No,Metropolitian,22,Monday,18,7.551948584727422
0x5631,4.8,2022-03-04,Fog,Medium,0,Meal,motorcycle,3,No,Metropolitian,48,Friday,17,13.804873199406153
0xde01,4.7,2022-02-14,Windy,Medium,1,Snack,motorcycle,1,No,Urban,21,Monday,18,10.900635211617388
0x8771,4.3,2022-03-25,Windy,Jam,1,Drinks,motorcycle,0,No,Metropolitian,44,Friday,21,12.099040609550999
0x3645,4.5,2022-03-17,Windy,Low,2,Drinks,scooter,0,No,Metropolitian,26,Thursday,8,1.5495096221395899
0x1ff1,4.7,2022-04-01,Windy,Low,1,Buffet,scooter,1,No,Metropolitian,26,Friday,22,4.654256824131882
0x4a3c,5.0,2022-03-19,Windy,High,1,Meal,motorcycle,1,No,Metropolitian,31,Saturday,11,1.5269331229160865
0x6e0d,4.6,2022-03-07,Stormy,Low,2,Meal,scooter,1,No,Urban,19,Monday,23,9.414207472710387
0x6cc6,4.5,2022-03-02,Sunny,Jam,1,Snack,scooter,0,No,Metropolitian,18,Wednesday,19,11.902924672837507
0xc141,4.7,2022-02-16,Fog,Medium,2,Meal,motorcycle,1,No,Metropolitian,38,Wednesday,18,10.472797742862058
0x690f,4.6,2022-03-29,Cloudy,Medium,1,Snack,motorcycle,1,No,Metropolitian,32,Tuesday,18,13.563852221699795
0xb4ba,4.9,2022-03-07,Sandstorms,Low,2,Meal,scooter,1,No,Metropolitian,17,Monday,22,7.6696078159334125
0x63a9,4.8,2022-03-03,Fog,Medium,1,Buffet,scooter,1,No,Urban,11,Thursday,19,9.177365744557306
0x88dd,4.7,2022-03-30,Windy,High,2,Buffet,motorcycle,1,No,Metropolitian,31,Wednesday,13,6.205474967025106
0x87a8,4.6,2022-03-19,Windy,Medium,0,Meal,motorcycle,0,No,Metropolitian,25,Saturday,17,9.308258482124039
0x3f8d,4.8,2022-03-15,Cloudy,Jam,2,Snack,motorcycle,1,No,Metropolitian,22,Tuesday,19,9.164099415262326
0x290c,4.9,2022-03-02,Fog,Jam,0,Drinks,motorcycle,3,No,Metropolitian,43,Wednesday,21,10.858950700039365
0x7ece,4.7,2022-03-31,Fog,Jam,0,Buffet,motorcycle,1,Yes,Metropolitian,42,Thursday,19,10.550295445173377
0x1365,3.9,2022-03-06,Stormy,Jam,1,Meal,motorcycle,0,No,Metropolitian,42,Sunday,19,12.082423061297098
0x33a4,4.7,2022-03-21,Fog,Jam,1,Drinks,motorcycle,1,No,Metropolitian,34,Monday,21,4.647989333607506
0x8f3c,4.7,2022-03-01,Sandstorms,Low,1,Snack,motorcycle,1,No,Metropolitian,17,Tuesday,9,2.977717993714077
0x2fe1,4.6,2022-03-24,Stormy,Jam,1,Snack,scooter,0,No,Metropolitian,25,Thursday,20,4.5541509794301644
0x4b5b,4.3,2022-04-04,Sandstorms,Jam,0,Meal,motorcycle,1,Yes,Semi-Urban,54,Monday,21,13.962004343954739
0x7405,4.9,2022-03-02,Windy,Low,2,Buffet,motorcycle,0,No,Metropolitian,21,Wednesday,22,10.625702124383546
0xd02b,4.1,2022-02-12,Fog,Jam,2,Meal,motorcycle,1,No,Metropolitian,36,Saturday,19,13.41246037752413
0x1f0e,4.9,2022-04-05,Sunny,Medium,1,Drinks,motorcycle,0,No,Metropolitian,17,Tuesday,17,9.308662119355633
0x7085,4.7,2022-03-03,Sunny,Low,0,Meal,motorcycle,1,No,Metropolitian,16,Thursday,9,1.4880598281970034
0x57fa,4.7,2022-04-06,Sunny,Jam,2,Meal,electric_scooter,1,No,Metropolitian,27,Wednesday,19,12.39395555693745
0x57fc,4.5,2022-03-17,Fog,High,2,Meal,motorcycle,1,No,Metropolitian,26,Thursday,12,6.20545250887856
0x7a1f,4.6,2022-03-31,Fog,Jam,0,Snack,motorcycle,2,Yes,Metropolitian,46,Thursday,21,13.764250249667594
0xceac,5.0,2022-02-17,Sunny,Jam,0,Buffet,motorcycle,0,No,Metropolitian,29,Thursday,19,9.066849655818128
0xa0a5,4.8,2022-03-09,Sandstorms,Jam,0,Snack,motorcycle,1,No,Metropolitian,23,Wednesday,19,9.297076456518703
0x6118,4.9,2022-03-25,Stormy,Medium,1,Snack,motorcycle,0,No,Metropolitian,28,Friday,17,16.612635818204165
0x46fd,4.8,2022-03-11,Cloudy,Jam,0,Meal,motorcycle,1,No,Metropolitian,25,Friday,19,9.177225998300312
0x5134,4.7,2022-03-03,Sandstorms,Low,2,Snack,motorcycle,0,No,Metropolitian,11,Thursday,10,3.013958870983999
0xd418,4.9,2022-02-15,Windy,Medium,1,Meal,scooter,1,No,Metropolitian,26,Tuesday,18,4.391724962431039
0x256c,4.3,2022-03-07,Stormy,Low,0,Meal,motorcycle,1,No,Metropolitian,23,Monday,10,3.1028522086456105
0x6055,4.0,2022-03-18,Fog,Medium,1,Snack,motorcycle,2,No,Metropolitian,39,Friday,17,11.902753837483976
0x1568,4.8,2022-03-06,Fog,Medium,0,Snack,motorcycle,1,No,Metropolitian,43,Sunday,17,10.846831683112223
0x1c60,4.7,2022-03-21,Windy,Low,2,Buffet,electric_scooter,0,No,Metropolitian,25,Monday,9,1.5513238067891462
0x7944,5.0,2022-03-19,Windy,Medium,1,Drinks,motorcycle,0,No,Metropolitian,27,Saturday,18,9.294705791241629
0x77ee,4.5,2022-03-28,Windy,Medium,2,Drinks,scooter,1,No,Metropolitian,29,Monday,15,6.136227883482838
0x2192,4.1,2022-03-29,Sandstorms,Medium,0,Buffet,motorcycle,1,No,Metropolitian,33,Tuesday,18,10.845889966900735
0x48c7,4.7,2022-03-17,Fog,Medium,1,Drinks,motorcycle,1,No,Urban,19,Thursday,16,6.19703893141132
0x78bf,4.4,2022-03-29,Sunny,Medium,0,Meal,motorcycle,1,No,Metropolitian,33,Tuesday,18,20.14112443663039
0x7a5a,4.8,2022-03-21,Fog,Jam,1,Snack,motorcycle,1,No,Metropolitian,28,Monday,19,9.414207472710387
0xe00d,4.6,2022-02-15,Stormy,Jam,1,Meal,scooter,1,No,Metropolitian,29,Tuesday,20,4.488577625714156
0x1e86,4.9,2022-03-29,Stormy,Low,2,Meal,scooter,1,No,Metropolitian,18,Tuesday,22,20.827572697496162
0xcff0,5.0,2022-02-13,Stormy,Low,1,Meal,motorcycle,1,No,Metropolitian,14,Sunday,10,1.557337963675556
0x1e2d,4.7,2022-04-03,Windy,Medium,1,Snack,motorcycle,1,No,Metropolitian,30,Sunday,16,6.1983397369141935
0xd072,4.9,2022-02-13,Sunny,High,0,Snack,motorcycle,0,No,Metropolitian,28,Sunday,14,6.163798689174008
0x9a57,4.7,2022-03-16,Fog,Jam,0,Snack,motorcycle,1,No,Metropolitian,39,Wednesday,20,20.397442775188328
0x427b,4.9,2022-04-02,Cloudy,Medium,2,Meal,motorcycle,0,No,Metropolitian,30,Saturday,19,13.805626960611738
0x52e2,4.8,2022-03-20,Sandstorms,Medium,0,Buffet,motorcycle,1,No,Metropolitian,36,Sunday,18,19.351082464681973
0xb5d2,4.7,2022-03-04,Cloudy,Jam,0,Meal,motorcycle,1,No,Metropolitian,43,Friday,19,20.827407215134496
0xd1c8,4.8,2022-02-11,Stormy,Medium,2,Drinks,scooter,1,No,Metropolitian,25,Friday,18,4.707104052532131
0x98ca,4.7,2022-03-09,Fog,Medium,2,Buffet,electric_scooter,1,No,Urban,15,Wednesday,18,7.747301749382407
0x644b,4.0,2022-03-12,Windy,Jam,0,Snack,motorcycle,2,No,Metropolitian,39,Saturday,21,13.743748712643285
0x7a2d,4.6,2022-04-04,Windy,Low,0,Buffet,motorcycle,1,No,Metropolitian,20,Monday,23,12.271931674507936
0xe13f,4.6,2022-02-11,Fog,Low,1,Buffet,motorcycle,1,No,Metropolitian,15,Friday,10,2.9810670001645105
0xc278,4.8,2022-02-18,Sandstorms,Low,1,Drinks,motorcycle,1,No,Metropolitian,16,Friday,22,16.760840661943323
0x5912,4.7,2022-03-19,Sunny,Low,2,Drinks,scooter,1,No,Metropolitian,19,Saturday,10,1.5294048118807104
0xab33,4.9,2022-03-02,Fog,Low,2,Drinks,scooter,0,No,Metropolitian,20,Wednesday,23,12.396903135321155
0xdd96,4.8,2022-02-14,Sunny,Jam,2,Meal,scooter,1,No,Metropolitian,25,Monday,21,10.432310169081864
0x7646,4.8,2022-03-27,Cloudy,Jam,0,Snack,motorcycle,1,No,Metropolitian,43,Sunday,19,12.396259636749217
0x5ef5,4.5,2022-03-04,Windy,Low,0,Drinks,motorcycle,0,No,Urban,15,Friday,22,19.630777254615126
0x7ef7,4.5,2022-04-06,Sunny,Jam,0,Buffet,motorcycle,0,No,Urban,29,Wednesday,20,12.43875210831113
0x1136,4.6,2022-03-26,Stormy,High,2,Drinks,motorcycle,0,No,Metropolitian,14,Saturday,12,6.135383422532994
0xd032,4.8,2022-02-11,Sunny,Medium,1,Buffet,motorcycle,1,No,Metropolitian,11,Friday,18,8.91888668509988
0x871c,4.9,2022-03-18,Windy,Low,1,Drinks,motorcycle,1,No,Metropolitian,29,Friday,23,12.552275755914394
0xcf18,4.7,2022-02-11,Cloudy,Medium,2,Buffet,motorcycle,1,No,Urban,11,Friday,15,5.984484703059433
0x1dad,4.8,2022-03-28,Sunny,High,1,Snack,motorcycle,0,No,Metropolitian,14,Monday,11,1.527154370684199
0xc918,5.0,2022-02-16,Windy,Low,0,Snack,motorcycle,0,No,Urban,15,Wednesday,22,13.713493498525082
0x33c1,4.7,2022-03-16,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,16,Wednesday,23,10.687630840937123
